Word,Filename,Count
15,28.txt,1
15,33.txt,2
15,37.txt,2
15,39.txt,1
15,4.txt,1
15,41.txt,2
15,42.txt,3
15,43.txt,3
15,44.txt,1
15,48.txt,1
15,53.txt,3
15,6.txt,1
15,75.txt,1
15,76.txt,1
15,77.txt,1
15,79.txt,1
15,8.txt,5
15,83.txt,1
15,86.txt,2
15,91.txt,1
15,94.txt,3
15,98.txt,1
15,99.txt,1
150,47.txt,1
150,55.txt,1
150,61.txt,1
1570,93.txt,1
1591,87.txt,1
15h,8.txt,3
15th,92.txt,1
16,1.txt,1
16,10.txt,1
16,13.txt,4
16,16.txt,1
16,18.txt,1
16,22.txt,1
16,23.txt,1
16,25.txt,2
16,26.txt,2
16,31.txt,1
16,37.txt,1
16,38.txt,3
16,39.txt,2
16,40.txt,2
16,41.txt,1
16,44.txt,3
16,46.txt,3
16,48.txt,1
16,55.txt,2
16,57.txt,1
16,60.txt,2
16,62.txt,2
16,76.txt,2
16,78.txt,2
16,8.txt,2
16,85.txt,2
16,87.txt,1
16,89.txt,3
16,92.txt,2
16,96.txt,2
16,97.txt,2
16,98.txt,2
160,72.txt,1
1605,93.txt,1
160km,14.txt,1
160km,16.txt,1
162m,82.txt,1
164,23.txt,1
165,95.txt,1
16h,18.txt,1
16th,17.txt,1
16th,98.txt,2
17,1.txt,1
17,11.txt,8
17,12.txt,2
17,13.txt,2
17,14.txt,1
17,15.txt,1
17,21.txt,4
17,23.txt,1
17,24.txt,1
17,27.txt,1
17,28.txt,1
17,31.txt,2
17,34.txt,5
17,36.txt,2
17,37.txt,2
17,39.txt,1
17,4.txt,6
17,41.txt,2
17,45.txt,2
17,48.txt,1
17,49.txt,1
17,51.txt,1
17,6.txt,2
17,60.txt,2
17,71.txt,1
17,72.txt,1
17,73.txt,5
17,76.txt,1
17,77.txt,2
17,78.txt,2
17,79.txt,2
17,8.txt,2
17,80.txt,1
17,81.txt,1
17,84.txt,2
17,85.txt,1
17,87.txt,1
17,88.txt,1
17,9.txt,1
17,90.txt,3
17,91.txt,2
17,93.txt,2
17,94.txt,3
17,95.txt,2
17,96.txt,1
17,98.txt,1
170c,96.txt,1
171,8.txt,1
1746489004,5.txt,2
1755,16.txt,1
1760s,27.txt,1
177,9.txt,1
1775,88.txt,1
17h,8.txt,2
17th,12.txt,2
17th,27.txt,1
17th,92.txt,1
18,1.txt,1
18,10.txt,1
18,11.txt,4
18,13.txt,4
18,14.txt,1
18,16.txt,1
18,17.txt,2
18,20.txt,1
18,22.txt,1
18,26.txt,2
18,27.txt,2
18,28.txt,3
18,31.txt,2
18,33.txt,2
18,34.txt,2
18,38.txt,1
18,39.txt,1
18,4.txt,6
18,42.txt,2
18,43.txt,2
18,44.txt,1
18,45.txt,2
18,5.txt,2
18,55.txt,2
18,57.txt,1
18,6.txt,2
18,7.txt,2
18,77.txt,1
18,8.txt,1
18,80.txt,1
18,81.txt,2
18,82.txt,1
18,84.txt,2
18,85.txt,1
18,86.txt,2
18,87.txt,1
18,89.txt,1
18,92.txt,1
18,94.txt,3
18,95.txt,1
18,96.txt,1
18,97.txt,1
18,98.txt,1
180,27.txt,1
180,45.txt,1
1804,88.txt,1
1805,88.txt,1
1821,88.txt,1
1830s,88.txt,1
1838,88.txt,1
1839,1.txt,1
1839,6.txt,1
1839,85.txt,1
1839,88.txt,1
1842,88.txt,1
1844,88.txt,1
1848,27.txt,2
1850,16.txt,1
1850,44.txt,1
1857,27.txt,1
1857,45.txt,1
1860,27.txt,1
1865,27.txt,1
1872,90.txt,2
1873,88.txt,1
1874,88.txt,1
1883,85.txt,1
1885,27.txt,1
1885,85.txt,1
1888,95.txt,1
1890,27.txt,1
1890,45.txt,1
1892,27.txt,1
1892,45.txt,1
1895,85.txt,1
1896,85.txt,2
1897,84.txt,1
1897,85.txt,2
1898,12.txt,1
1898,84.txt,4
18h,8.txt,1
18th,27.txt,1
18th,37.txt,1
18th,55.txt,1
18th,92.txt,1
19,1.txt,1
19,10.txt,2
19,12.txt,2
19,13.txt,3
19,14.txt,2
19,2.txt,1
19,20.txt,1
19,27.txt,1
19,3.txt,1
19,37.txt,1
19,38.txt,1
19,4.txt,6
19,40.txt,2
19,44.txt,1
19,45.txt,4
19,48.txt,1
19,6.txt,1
19,7.txt,1
19,75.txt,3
19,76.txt,1
19,78.txt,2
19,8.txt,2
19,85.txt,3
19,86.txt,1
19,87.txt,1
19,88.txt,3
19,89.txt,1
19,9.txt,1
19,92.txt,1
19,94.txt,2
19,96.txt,1
1900,85.txt,1
1901,85.txt,1
1907,85.txt,2
1908,85.txt,1
1909,85.txt,1
1910,85.txt,1
1911,27.txt,1
1911,45.txt,1
1914,85.txt,5
1917,27.txt,1
1918,85.txt,1
1920s,27.txt,1
1924,27.txt,1
1924,45.txt,1
1930,16.txt,1
1930,92.txt,1
1930s,27.txt,2
1930s,45.txt,1
1931,96.txt,1
1934,23.txt,1
1935,16.txt,1
1935,38.txt,1
1935,44.txt,1
1935,87.txt,1
1935,89.txt,1
1935,92.txt,1
1936,58.txt,1
1940s,13.txt,1
1940s,27.txt,1
1944,11.txt,1
1944,27.txt,1
1944,45.txt,1
1945,11.txt,2
1947,45.txt,1
1948,27.txt,1
195,60.txt,1
1950s,16.txt,1
1951,28.txt,1
1952,14.txt,1
1953,86.txt,1
1954,14.txt,1
1954,97.txt,1
1955,87.txt,1
1956,1.txt,1
1956,11.txt,2
1956,27.txt,1
1956,28.txt,1
1956,44.txt,1
1956,45.txt,5
1956,6.txt,1
1956,78.txt,1
1956,80.txt,1
1956,85.txt,1
1956,87.txt,1
1956,88.txt,1
1956,90.txt,1
1956,91.txt,1
1956,92.txt,1
1956,93.txt,1
1956,95.txt,1
1956,97.txt,1
1957,50.txt,1
1958,45.txt,1
1962,11.txt,1
1962,23.txt,2
1962,27.txt,1
1962,28.txt,1
1962,44.txt,1
1962,45.txt,1
1962,78.txt,1
1962,80.txt,1
1962,85.txt,1
1962,87.txt,1
1962,88.txt,1
1962,90.txt,1
1962,91.txt,1
1962,92.txt,1
1962,93.txt,1
1962,95.txt,1
1962,97.txt,1
1963,23.txt,2
1964,11.txt,2
1965,12.txt,1
1965,28.txt,1
1965,39.txt,1
1966,11.txt,1
1967,16.txt,1
1967,22.txt,1
1968,28.txt,1
1969,14.txt,1
1970s,13.txt,1
1970s,85.txt,1
1970s,95.txt,1
1975,15.txt,1
1977,11.txt,1
1977,31.txt,1
1977,55.txt,1
1977,62.txt,1
1979,23.txt,1
1979,45.txt,1
1979,96.txt,1
1980s,14.txt,1
1980s,27.txt,2
1980s,92.txt,2
1980s,97.txt,1
1981,23.txt,1
1981,77.txt,1
1981,87.txt,1
1983,11.txt,1
1986,95.txt,1
1987,45.txt,1
1987,87.txt,3
1989,50.txt,1
1990,45.txt,1
1990s,48.txt,1
1991,48.txt,1
1991,55.txt,1
1991,85.txt,1
1993,11.txt,2
1994,11.txt,2
1995,21.txt,1
1995,27.txt,1
1995,80.txt,1
1996,23.txt,1
1996,65.txt,1
1999,87.txt,1
19th,27.txt,1
19th,37.txt,1
19th,44.txt,3
19th,78.txt,1
19th,85.txt,1
19th,88.txt,1
19th,96.txt,1
19th,98.txt,1
1bn,72.txt,1
1bn,92.txt,2
1d,8.txt,4
1h,8.txt,2
1m,31.txt,2
1m,34.txt,1
1m,55.txt,2
1m,56.txt,2
1m,57.txt,2
1m,58.txt,2
2,1.txt,13
2,10.txt,10
2,100.txt,3
2,11.txt,2
2,12.txt,12
2,13.txt,6
2,14.txt,2
2,15.txt,2
2,16.txt,5
2,17.txt,14
2,2.txt,6
2,20.txt,6
2,21.txt,2
2,22.txt,5
2,23.txt,3
2,24.txt,1
2,25.txt,2
2,26.txt,4
2,28.txt,5
2,3.txt,2
2,30.txt,12
2,33.txt,1
2,35.txt,1
2,36.txt,1
2,4.txt,16
2,40.txt,3
2,42.txt,1
2,43.txt,1
2,44.txt,3
2,45.txt,1
2,46.txt,10
2,47.txt,5
2,48.txt,3
2,49.txt,4
2,50.txt,4
2,56.txt,3
2,6.txt,11
2,60.txt,2
2,61.txt,3
2,62.txt,3
2,7.txt,5
2,71.txt,2
2,72.txt,1
2,73.txt,1
2,74.txt,4
2,75.txt,1
2,76.txt,5
2,77.txt,4
2,78.txt,4
2,79.txt,4
2,8.txt,5
2,80.txt,2
2,81.txt,3
2,83.txt,3
2,84.txt,4
2,85.txt,1
2,87.txt,2
2,88.txt,1
2,9.txt,4
2,90.txt,5
2,91.txt,4
2,92.txt,3
2,93.txt,3
2,94.txt,4
2,95.txt,5
2,96.txt,5
2,97.txt,3
2,98.txt,6
20,1.txt,1
20,10.txt,3
20,100.txt,2
20,11.txt,1
20,13.txt,3
20,15.txt,1
20,16.txt,1
20,18.txt,2
20,23.txt,1
20,25.txt,1
20,28.txt,2
20,29.txt,1
20,3.txt,2
20,31.txt,1
20,37.txt,1
20,39.txt,1
20,4.txt,6
20,47.txt,1
20,49.txt,2
20,55.txt,1
20,56.txt,2
20,6.txt,1
20,60.txt,1
20,66.txt,1
20,73.txt,1
20,76.txt,3
20,80.txt,1
20,88.txt,1
20,90.txt,1
20,91.txt,1
20,93.txt,1
20,94.txt,1
20,95.txt,1
20,96.txt,1
20,98.txt,1
20,99.txt,1
200,13.txt,1
200,22.txt,1
200,76.txt,1
200,77.txt,1
200,79.txt,1
200,80.txt,3
200,94.txt,1
200,95.txt,1
2000s,87.txt,2
2003,21.txt,2
2003,48.txt,1
2003,75.txt,2
2003,87.txt,1
2003,92.txt,1
2004,91.txt,2
2005,22.txt,1
2005,55.txt,1
2005,75.txt,1
2006,1.txt,1
2006,11.txt,2
2006,27.txt,1
2006,28.txt,1
2006,44.txt,1
2006,45.txt,4
2006,6.txt,1
2006,78.txt,1
2006,80.txt,1
2006,85.txt,1
2006,87.txt,1
2006,88.txt,1
2006,90.txt,1
2006,91.txt,1
2006,92.txt,1
2006,93.txt,1
2006,95.txt,1
2006,97.txt,1
2007,21.txt,1
2007,45.txt,1
2008,83.txt,1
2009,27.txt,2
200g,98.txt,1
200m,93.txt,1
2010s,83.txt,1
2010s,92.txt,1
2011,28.txt,2
2012,1.txt,1
2012,17.txt,1
2012,30.txt,1
2012,6.txt,1
2012,61.txt,1
2012,75.txt,1
2012,81.txt,1
2012,88.txt,1
2012,92.txt,1
2013,27.txt,1
2013,83.txt,1
2013,84.txt,1
2013,87.txt,1
2013,93.txt,2
2014,75.txt,1
2014,77.txt,3
2014,87.txt,1
2015,21.txt,1
2015,58.txt,1
2015,75.txt,1
2016,3.txt,1
2016,31.txt,1
2016,48.txt,1
2016,55.txt,1
2016,56.txt,1
2016,78.txt,1
2017,32.txt,1
2017,51.txt,1
2017,52.txt,1
2017,54.txt,3
2017,75.txt,1
2017,83.txt,2
2017,92.txt,2
2017,98.txt,1
2018,12.txt,5
2018,23.txt,1
2018,80.txt,4
2019,16.txt,2
2019,23.txt,1
2019,56.txt,1
2019,78.txt,1
2019,82.txt,1
2020,10.txt,1
2020,25.txt,1
2020,46.txt,2
2020,50.txt,4
2020,60.txt,1
2020,80.txt,1
2021,31.txt,1
2021,50.txt,3
2021,71.txt,1
2021,83.txt,1
2021,99.txt,1
2022,100.txt,2
2022,16.txt,25
2022,18.txt,2
2022,25.txt,1
2022,27.txt,1
2022,28.txt,17
2022,30.txt,1
2022,32.txt,3
2022,59.txt,2
2022,7.txt,1
2022,78.txt,1
2022,80.txt,1
2022,85.txt,14
2022,86.txt,1
2022,88.txt,14
2022,90.txt,1
2022,96.txt,9
2022,98.txt,9
2023,12.txt,5
2023,16.txt,8
